男女比分布（男/女，1000表示没有女生）
1000	3220
0.0	1983
1.0	1544
2.0	993
0.5	860
3.0	562
0.333	353
1.5	280
0.667	276
4.0	268
5.0	176
1.333	159
0.25	137
6.0	135
2.5	120
0.75	101
7.0	79
1.667	63
0.4	55
0.2	48
0.6	23
0.167	21
8.0	7
0.143	6
10.0	5
9.0	4
2.75	4
2.667	4
2.333	4
3.5	3
1.75	3
0.714	3
4.5	2
3.333	2
13.0	2
1.2	2
0.429	2
0.286	2
6.5	1
4.667	1
3.667	1
2.4	1
2.25	1
2.167	1
15.0	1
12.0	1
1.8	1
1.4	1
1.375	1
1.25	1
1.167	1
0.875	1
0.857	1
0.833	1
0.778	1
0.444	1

微沙龙各主题男女数量和比值
法学	732	892	0.821
艺术学	485	575	0.843
文学	1680	1966	0.855
教育学	1282	1490	0.860
医学	455	478	0.952
管理学	1257	1053	1.194
哲学	949	759	1.250
经济学	2512	1944	1.292
历史学	569	428	1.329
文史类	219	148	1.480
农学	40	25	1.600
其它类	3952	2461	1.606
理学	1509	829	1.820
工学	8316	3772	2.205
军事学	27	9	3.000

微沙龙各兴趣领域男女数量和比值
建筑能耗	0	3	0.000
库存	0	1	0.000
日语学习动机	0	4	0.000
土木工程房地产研究	0	4	0.000
职教	0	2	0.000
城市计算功能区识别	0	1	0.000
社会鞋	0	3	0.000
建筑规划	0	3	0.000
在线教育	0	2	0.000
教育经济	0	1	0.000
应用统计	0	1	0.000
社会语言	0	1	0.000
网络语言材料	0	1	0.000
服装设计	0	3	0.000
语言语言	0	2	0.000
扶贫	0	4	0.000
英语教育	0	2	0.000
美国社会	0	2	0.000
运筹	0	1	0.000
职业生涯指导	0	1	0.000
教育技术学	0	2	0.000
古汉语	0	3	0.000
理學	0	4	0.000
植物	0	2	0.000
算法导论	0	1	0.000
python	0	3	0.000
外文	0	1	0.000
航天航空	0	2	0.000
傳播倫理學	0	4	0.000
储能材料	0	1	0.000
社會學	0	3	0.000
app	0	1	0.000
新女性	0	9	0.000
学习交流	0	2	0.000
傳播媒體	0	4	0.000
东野圭吾	0	3	0.000
欧洲经济	0	1	0.000
地理信息科学	0	1	0.000
战略管理	0	1	0.000
计算机科学与应用	0	3	0.000
性别问题研讨	0	6	0.000
网络与信息安全	0	2	0.000
神经	0	3	0.000
文学历史	0	3	0.000
医学免疫学	0	8	0.000
重组	0	1	0.000
房地产经济与管理	0	2	0.000
茶文化	0	1	0.000
社会运动	0	2	0.000
日语学习	0	4	0.000
nodejs	0	3	0.000
与延续	0	1	0.000
辐射防护	0	2	0.000
英语专业	0	1	0.000
设计	0	2	0.000
微流体	0	1	0.000
市场	0	1	0.000
效率	0	3	0.000
定性研究方法	0	1	0.000
教育政策	0	2	0.000
設計	0	1	0.000
军事发展	0	4	0.000
扩散电泳	0	1	0.000
固体地球物理学	0	1	0.000
传播	0	5	0.000
房地产经济	0	2	0.000
統計分析	0	3	0.000
新技术	0	2	0.000
模拟法庭	0	2	0.000
文体学	0	8	0.000
王国维	0	2	0.000
社会思考类	0	2	0.000
国关	0	2	0.000
英美诗歌	0	2	0.000
电路设计	0	2	0.000
体育科学	0	3	0.000
国际交流	0	3	0.000
中文沟通	0	2	0.000
卫星通信	0	2	0.000
信息收集	0	4	0.000
da xue	0	1	0.000
概论	0	3	0.000
并购	0	1	0.000
测绘	0	2	0.000
unity	0	3	0.000
社会探讨	0	2	0.000
科技社会学	0	3	0.000
教育研究	0	3	0.000
javascript	0	3	0.000
论文	0	3	0.000
学习记忆	0	3	0.000
是	0	1	0.000
空气动力学	0	2	0.000
数据库	0	1	0.000
智能硬件	0	3	0.000
自然地理学	0	1	0.000
語言學	0	3	0.000
网络与通信	0	2	0.000
叶嘉莹	0	1	0.000
汉语研究	0	3	0.000
文本分类	0	2	0.000
技术史	0	5	0.000
情报学	0	1	0.000
免疫学	0	1	0.000
公共财政学	0	2	0.000
旅游管理	0	2	0.000
修辞学	0	5	0.000
社会学研究方法	0	4	0.000
企业兴衰史	0	1	0.000
人体健康	0	1	0.000
制作ppt	0	2	0.000
广告学	0	2	0.000
旅行及摄影	0	1	0.000
平面设计	0	3	0.000
景观规划设计	0	1	0.000
计算语言学	0	1	0.000
會計	0	5	0.000
文献管理	0	1	0.000
人口学	0	3	0.000
html5	0	3	0.000
新闻与大数据	0	1	0.000
二语习得与教学	0	2	0.000
新聞學	0	3	0.000
互联网经济	0	2	0.000
中国古代文学	0	1	0.000
纸	0	1	0.000
运动与健康	0	2	0.000
理工科与文科差异性	0	3	0.000
医疗	0	4	0.000
生态	0	5	0.000
行銷學	0	2	0.000
广告营销	0	2	0.000
傳播學	2	31	0.065
女性	1	12	0.083
傳播	2	18	0.111
暖通	3	26	0.115
诉讼法学	1	8	0.125
文學	1	7	0.143
会计	1	7	0.143
新聞	1	7	0.143
瑜伽	1	7	0.143
生物医学	1	6	0.167
清代	1	6	0.167
海洋生物	1	6	0.167
话语研究	1	6	0.167
工科	1	6	0.167
性别研究	1	6	0.167
新媒体研究	1	6	0.167
亞洲政治	1	6	0.167
